,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.9940859864696225,0.0007645846539278939,1300.1647121253525,0.0,0.9925874280847918,0.9955845448544532
C(block)[T.2],0.0007590560492943665,0.0010091046540136558,0.7522074606189404,0.4519263077357619,-0.001218752729204151,0.002736864827792884
C(block)[T.3],0.0016456183067863383,0.0009409310856395438,1.7489254334368427,0.0803039095868967,-0.000198572733001341,0.0034898093465740177
C(block)[T.4],0.002812550271450612,0.0009001786698059082,3.124435587945046,0.0017814652062086616,0.0010482324989798586,0.004576868043921365
C(block)[T.5],0.0034899546765646116,0.0008630789831925488,4.043609848608744,5.263447855994449e-05,0.0017983509536937652,0.005181558399435458
C(block)[T.6],0.0036598406125845037,0.0008734957695170984,4.189877891003184,2.7910460965993968e-05,0.0019478203636828907,0.005371860861486117
C(block)[T.7],0.00333317014335907,0.0009318976991480425,3.576755416829888,0.00034788539061525193,0.0015066842157531641,0.005159656070964976
C(block)[T.8],0.0038809939480048752,0.0009061277041202203,4.2830540666152785,1.8434535374394838e-05,0.0021050162825352768,0.005656971613474474
C(block)[T.9],0.004122200149390258,0.000974130966909977,4.231669343667632,2.3196324996697854e-05,0.0022129385380215243,0.006031461760758992
C(block)[T.10],0.0042738402159908945,0.0011805794525182691,3.620120786343059,0.0002944655234299727,0.001959947008167072,0.006587733423814717
treat,0.0005775739965196287,0.0003369990788460523,1.7138741105683428,0.08655184874559951,-8.29320608418078e-05,0.0012380800538810653
baseline_activity,-0.0002159769874057597,0.0003496453579736104,-0.6177030024292804,0.5367711324751154,-0.0009012692963956507,0.0004693153215841313
pre_metric,0.0002604956448637257,0.000331141260006327,0.7866601850181657,0.43148081727582255,-0.000388529298543889,0.0009095205882713404
